,name,price,change,volume,relative_volume,market_cap,pe,eps_diluted,eps_diluted_growth,dividends_yield,sector
31,Almadex Minerals Ltd.,0.16,5.26315789,1015,0.12143763,9712402.667,14.52664914,0.01101424,-67.31562948,0,Non-Energy Minerals
32,Armada Mercantile Ltd.,0.335,4.6875,500,0.04492,6399977.35,40.61748273,0.00824768,126.9070228,0,Finance
33,"Aarons Holdings Company, Inc.",9.55,-4.4044044,326106,1.1044437,294799006,,-0.0782,-104.4857454,5.10471,Retail Trade
34,Aroundtown SA,2.05,4.06091371,3000,0.40820214,2909617673,,-1.95253367,-477.9116939,11.1705,Finance
35,"Applied Optoelectronics, Inc.",7.95,2.05391528,1913583,0.86716792,265073071,,-2.4118,-8.32734459,0,Electronic Technology
36,"AAON, Inc.",57.42,-2.77683711,209318,0.76346369,4686016296,31.82573994,1.8042,160.8356224,0.696621,Producer Manufacturing
37,Advance Auto Parts Inc.,49.97,-2.51658213,1594631,0.82008183,2971728996,8.65146557,5.7759,-32.99730871,9.5057,Retail Trade
38,"AAP, Inc.",0.000307,-38.6,8206999,0.17753285,56021,,-0.0019,-137.254902,0,Electronic Technology
39,Apple Inc.,180.71,0.50611791,56740503,1.12950982,2.82526E+12,30.36887656,5.9505,-1.67713153,0.52017,Electronic Technology
40,"All American Pet Company, Inc.",1.00E-06,0,70000,0.02382187,1729,,,,,Consumer Non-Durables
41,Antiaging Quantum Living Inc.,0.782,-28.90909091,630,0.50798258,23456090,,-0.0015,11.76470588,0,Commercial Services
42,Airtel Africa Plc,15,7.52688172,100,,5514443163,17.03190644,0.8807,-50.2682252,3.14729,Communications
43,Atlantic Sapphire ASA,0.16,22.30171834,6000,0.52725004,53435680.71,,-0.51208126,38.50136525,0,Process Industries
44,"American Assets Trust, Inc.",18.44,-2.12314225,181984,0.63012105,1119762181,22.86422815,0.8065,23.22383499,7.10412,Finance
45,Autoscope Technologies Corporation,5.6,0.62893082,10322,0.88238814,30283160,9.82800983,0.5698,508.1109925,9.10714,Technology Services
46,AMG CAPITAL TR II 5.15% CONV PRF 15/10/2037,46.16,0.13015184,1402,0.04236341,,,,,,Finance
47,"Adaptive Ad Systems, Inc.",0.1905,-4.75,218072,6.64246116,9146501.382,,,,0,Commercial Services
48,"Almaden Minerals, Ltd.",0.130098,-1.3661865,114487,0.74164454,17852230.82,,-0.0611064,-282.0276504,0,Non-Energy Minerals
49,Angold Resources Ltd.,0.032,0,9000,0.78564881,453623.2,,-0.26875134,-61.83808853,0,Non-Energy Minerals
50,Anglo American plc,27.73,-1.12672039,2247,0.13425104,37091034384,15.38282436,1.80265986,-67.08694198,4.59768,Non-Energy Minerals
51,Abn Amro BK N V,14.02,-1.82072829,9856,0.65676455,12223252524,4.74466141,2.9549,46.3473825,7.63509,Finance
52,Advantage Energy Ltd.,6.92,-1.17815066,54911,1.29753117,1161867996,9.11814374,0.7589264,-66.95720241,0,Energy Minerals
53,"Ascend Wellness Holdings, Inc.",0.89524,-0.25181058,83909,0.71623005,184465992.5,,-0.2636,41.05545617,0,Process Industries
54,AllianceBernstein Holding L.P.,29.94,-1.96463654,213314,0.74299237,3402844932,13.15523529,2.2759,-38.80015059,8.71744,Finance
55,Automatic Bank Services Ltd.,3.77,0,1000,1.75777817,150799995.7,16.71712719,0.22551722,-14.82248686,3.68139,Finance
56,American Battery Technology Company,7.14,3.77906977,248910,1.16024162,330613093,,-0.1766,-221.6757741,0,Non-Energy Minerals
57,ABB Ltd.,36.71,-1.23755717,1053027,3.2974537,68411558955,20.07217453,1.8289,-15.16374432,1.9838,Producer Manufacturing
58,AbraSilver Resource Corp,0.205,-3.89123301,188755,1.12818064,115684034.2,,-0.03349536,8.41189742,0,Non-Energy Minerals
59,AbbVie Inc.,148.3,-0.69639748,4554424,1.14896472,2.61756E+11,30.45612306,4.8693,-31.09611139,3.94471,Health Technology
60,Ameris Bancorp,38.7,-1.60183066,192387,0.57652475,2675690570,9.00251233,4.2988,-10.77810755,1.55039,Finance
61,"ABCO Energy, Inc.",0.0002,0,129804,0.91859958,52103,,,,0,Utilities
62,Abacus Mining & Exploration Corp.,0.02804,12.16,3494,0.0741722,3388475.353,,-0.0109388,68.34188953,0,Non-Energy Minerals
63,AbCellera Biologics Inc.,3.98,-9.33940774,4206194,3.29565651,1151636350,,-0.265,-141.824495,0,Health Technology
64,Abcam plc,22.65,-0.87527352,13230790,2.98488872,5186838507,1389.570552,0.0163,,0,Health Technology
65,AmBase Corp.,0.1405,-6.33333333,203,0.00568529,5723654,,-0.0963,10.41860465,0,Finance
66,Abcam PLC,22.28,1.27272727,4000,1.10861672,5502988664,1366.871166,0.0163,,0,Health Technology
67,Abeona Therapeutics Inc.,4.21,-1.17370892,111225,0.70880744,104222225,,-3.0036,83.27616927,0,Health Technology
68,Vision Lithium Inc.,0.0469,2.85087719,2431,0.06946786,11938511.17,,-0.00618576,-8.72628178,0,Non-Energy Minerals
69,Ambev S.A.,2.54,-2.30769231,5687278,0.40839468,41380845720,14.60609546,0.1739,6.88383528,4.8285,Consumer Non-Durables
70,Asbury Automotive Group Inc,212.69,-2.46709772,134101,0.92033058,4376135502,4.9545751,42.928,28.39086716,0,Retail Trade
71,ABENGOA SA,1.00E-05,900,2750,0.17987141,,,,,,Industrial Services
72,ABG Sundal Collier ASA,0.458,-2.30375427,100,0.00640332,225241743,12.94805574,0.03537211,-60.26106939,9.70874,Finance
73,Alfen Beheer B.V.,19.4,2.10526316,100,0.04903403,829984269.3,21.76107684,0.8915,101.3779083,0,Producer Manufacturing
74,ABILITY INC,0.0002,0,125,0.06387328,1597.812,,,,0,Electronic Technology
75,"ARCA biopharma, Inc.",2.03,-0.97560976,48696,2.40341145,29252590,,-0.4395,62.31672811,0,Health Technology
76,ATHENA BITCOIN GLOBAL,0.08,17.64705882,9311,0.33497023,327152747,42.10526316,0.0019,,0,Commercial Services
77,"Abacus Life, Inc.",6.67,1.67682927,1899,0.23167578,419954470,,,,0,Finance
78,"American Biltrite, Inc.",106,-24.28571429,200,7.1942446,3604000,,-113.6469,32.31838918,0,Process Industries
79,Able View Global Inc.,3.05,-10.29411765,27640,5.08527588,27347800,23.30022918,0.1309,,0,Commercial Services
80,ABB Ltd.,37.176,1.50166548,4550,1.68424949,69147460469,19.46042353,1.91033869,-8.45822945,2.51271,Producer Manufacturing
81,ABM Industries Incorporated,43.72,-0.31919745,438325,0.89348942,2865065690,12.28642086,3.5584,11.83958261,1.95563,Commercial Services
82,Abcourt Mines Inc.,0.026,4,35020,1.12960454,9069166.971,,-0.05759926,-3503.557307,0,Non-Energy Minerals
83,American Bio Medica Corp.,0.004,-15.78947368,2450,0.02032901,192394,0.2259887,0.0177,,0,Health Technology
84,ABN Amro Group NV,14.3,-3.25417766,2750,1.56614841,12223252524,4.66544445,3.06508847,62.71852355,9.61969,Finance
85,"Advanced BioMedical Technologies, Inc.",0.04149,-1.1907597,150,0.02377933,2912926.921,,,,,Health Technology
86,Aben Minerals Ltd.,0.0665,2.62345679,300,0.01963454,1244862.788,,-0.05778704,-75.94032958,0,Non-Energy Minerals
87,"Airbnb, Inc.",125.97,-3.1,4023286,0.750349,81538321893,36.91644932,3.4123,86.70934559,0,Consumer Services
88,"Acumen Pharmaceuticals, Inc.",3.77,-9.375,535013,1.28138325,218164286,,-1.1379,-46.09064065,0,Health Technology
89,AB INTL Group Corp.,0.0004,33.33333333,360180747,5.02155387,469818,,-0.0057,48.64864865,0,Technology Services
90,Arbor Realty Trust,14.31,-2.1872864,2752426,0.67593838,2668843246,8.31928376,1.7201,-13.0032369,11.5304,Finance
91,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",17,-1.96078431,21277,1.006976,2668843246,9.88314633,1.7201,-13.0032369,11.5304,Finance
92,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,16.7899,-2.94855491,8524,1.56194455,2668843246,9.76100227,1.7201,-13.0032369,11.5304,Finance
93,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",17.82,-2.88828338,34752,1.23309252,2668843246,10.3598628,1.7201,-13.0032369,11.5304,Finance
94,ARBOR METALS CORP.,1.49,-5.77373047,3343,0.53154614,89355411.15,,-0.01712854,-321.7065677,0,Non-Energy Minerals
95,Absci Corporation,1.32,-2.94117647,256452,0.86704041,122378463,,-1.2215,-4.17022002,0,Commercial Services
96,AirBoss of America Corp.,2.88,-4,1206,0.41268864,78136003.2,,-1.63395496,-238.2068519,10.2564,Electronic Technology
97,Abbott Laboratories,90.19,-2.64464594,7387121,1.40425563,1.56512E+11,30.73646185,2.9343,-38.77819274,2.21754,Health Technology
98,"Alterola Biotech, Inc.",0.004,-33.33333333,525000,7.47809985,3228191.837,,-0.002,75.90361446,0,Health Technology
99,AB&T Financial Corp. (NC),0.5,0,313,0.26311365,1334000,,,,1.0184,Finance
100,Arbutus Biopharma Corporation,1.84,-1.60427807,689490,0.96715076,308304252,,-0.4624,21.89189189,0,Health Technology
101,"ABVC BioPharma, Inc.",0.88,1.69883277,34557,0.68535288,3477221,,-3.8656,8.50001184,0,Health Technology
102,AFFINITY BEVERAGE GROUP INC,2.00E-06,100,10000,0.00925605,6,,,,,Consumer Non-Durables
103,AIRBORNE WIRELESS NETWORK,1.00E-06,0,60000,0.37256737,4863,,,,,Communications
104,ABAXX Technologies Inc.,4.985,-0.499002,5297,0.6488559,122212758.5,,-0.02987424,93.67716859,0,Non-Energy Minerals
105,Aboitiz Power Corp.,0.63,0.88070456,1000,0.04087205,4540791018,7.26087936,0.08676635,70.47052098,5.06775,Utilities
106,"Associated Capital Group, Inc.",34.57,0.40662213,7150,0.76385625,749789584,41.46078196,0.8338,,0.578536,Finance
107,"Arcosa, Inc.",69.14,-3.77174669,214895,0.82397315,3371387578,11.89484912,5.8126,209.0164806,0.289268,Producer Manufacturing
108,Atlantic Coastal Acquisition Corp. II,10.59,0.18921476,815,0.02349604,115808989,65.73556797,0.1611,,0,Finance
109,Acri Capital Acquisition Corporation,10.92,-0.00915667,700,0.03304958,63335401.92,117.7993528,0.0927,,0,Finance
110,Acri Capital Acquisition Corporation,10.97,-0.45372051,400,0.13923698,65713400,,,,0,Finance
111,ACADIA Pharmaceuticals Inc.,22.64,-3.16509837,1822858,0.82687492,3706821439,,-0.6839,46.12839701,0,Health Technology
112,Atlantic Coastal Acquisition Corp.,10.46,-0.47573739,25000,12.18561123,127168611,39.32330827,0.266,,0,Finance
113,Atlantic Coastal Acquisition Corp.,10.8,-1.00824931,1946,1.21215896,127168611,,,,0,Finance
114,Safeplus International Holdings Limited,0.0003,0,5000,1.06358086,715.086,,,,0,Health Technology
115,Americann Inc.,0.28,-1.75438596,938,0.21405262,6829749,30.10752688,0.0093,,0,Finance
116,Athena Consumer Acquisition Corp.,9.25,-4.9331963,36242,0.20607829,93206145,,-0.0257,36.06965174,0,Finance
117,Athena Consumer Acquisition Corp.,9.23,-1.80851064,320,0.12571698,93206145,,,,0,Finance
118,Alset Capital Acquisition Corp.,10.55,-2.31481481,2308,0.36367647,71342121,93.28028294,0.1131,,0,Finance
119,Alset Capital Acquisition Corp.,11.14,14.49126413,476,0.43343653,71342121,,,,0,Finance
120,Acadian Timber Corp,12.295,-0.50979123,5104,2.28786588,209433541.6,7.19895757,1.70788616,134.9195796,6.90476,Non-Energy Minerals
121,Aurora Cannabis Inc.,0.5025,-5.18867925,10386521,1.08492193,218505990.2,0.73390509,0.68469344,,0,Process Industries
122,Ace Global Business Acquisition Limited,11.62,0,307,0.05124268,44034536.59,55.94607607,0.2077,,0,Finance
123,Annabidiol Corp.,1,7.52688172,1295,1.7504731,41943000,,-0.0002,-113.3333333,0,Finance
124,ACACIA DIVERSIFIED HOLDINGS INC,0.0001,0,2000,0.10496869,5428,,,,,Process Industries
125,"Accolade, Inc.",7.28,-13.43638526,1033900,1.08648923,554970381,,-1.9417,66.37516018,0,Technology Services
126,AAC CLYDE SPACE,0.05224,-15.05691057,21000,0.59758235,14847459.79,,-0.01815541,17.08162218,0,Electronic Technology
127,Acco Brands Corporation,5.3,-1.85185185,411807,0.76052777,503062098,,-0.2954,-126.0769774,5.66038,Producer Manufacturing
128,Access-Power & Co Inc.,0.0013,-7.14285714,119576,6.24013693,391950,,0,,0,Technology Services
129,Accor SA Ltd.,6.676,-3.10595065,5319,0.7347497,8828738780,14.55100262,0.4588,,2.32909,Consumer Services
130,ProFrac Holding Corp.,9.59,-2.73833671,353110,0.61572418,1528532266,6.59469124,1.4542,,0,Industrial Services
131,Ascendas Real Estate Investment Trust,2.014,3.81443299,5452,0.25701706,8746297835,15.98202776,0.12601655,28.71690464,5.7304,Finance
132,Air Canada,13.39,-3.25144509,8805,0.05508623,4799736846,13.03363538,1.02734192,,0,Transportation
133,American Copper Development Corporation,0.1029,11.18314425,41850,0.78553195,9372903.75,,-0.01938808,46.18638818,0,Non-Energy Minerals
134,Ace Hardware Indonesia Tbk,0.04545,81.8,1000,0.43956044,778121753.9,16.03016733,0.00283528,8.13899409,3.85839,Retail Trade
135,"Accel Entertainment, Inc.",10.47,-3.76838235,280502,1.09323323,896397518,16.8762089,0.6204,3.93700787,0,Consumer Services
136,Acer Therapeutics Inc.,0.7505,0.06666667,292510,2.72977122,18360027,,-1.9536,-44.31557952,0,Health Technology
137,"Adicet Bio, Inc.",1.35,-10,343842,0.90828427,58139310,,-2.7187,-98.76443925,0,Health Technology
138,"Acorn Energy, Inc.",6.11,-2.24,511,0.83455822,15182429,,-0.1114,28.95408163,0,Electronic Technology
139,Agricultural Bank of China,0.39,7.88381743,7583,0.04540251,1.74719E+11,3.6013018,0.10829417,-0.78982784,8.00804,Finance
140,Agricultural Bank of China,9.44,1.39634801,27248,0.63318995,1.72308E+11,3.4859675,2.708,-1.34071699,6.68251,Finance
141,Arch Capital Group Ltd.,83.05,0.03613587,1608095,0.94167433,30973851945,13.94837171,5.9541,45.94813217,0,Finance
142,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",17.2,-1.54550658,22220,0.42460005,30973851945,2.88876572,5.9541,45.94813217,0,Finance
143,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",20.13,-0.64165844,18405,0.31543984,30973851945,3.38086361,5.9541,45.94813217,0,Finance
144,"Alliance Creative Group, Inc.",0.24,0,130,0.01542752,144250.5263,4.44444444,0.054,132.7586207,0,Commercial Services
145,Subsea 7 S.A.,12.5,-9.35460479,686,0.63342567,3676777649,131.9987646,0.09469786,-55.27306313,0.694444,Industrial Services
146,"Acadia Healthcare Company, Inc.",75,3.97892694,2046368,4.6689487,6912882042,25.40134119,2.9526,-3.25054066,0,Health Services
147,Arch Biopartners Inc.,0.805,0.625,4000,0.18510206,50392049.05,,-0.04926232,-1447.413293,0,Health Technology
148,Achilles Therapeutics plc,0.8505,1.20180866,95662,3.81094658,34824776,,-1.7961,-7.41582441,0,Health Technology
149,Archer Aviation Inc.,5.11,-4.84171322,3729077,0.79158173,1306811631,,-1.9644,-33.08041461,0,Electronic Technology
150,"Achieve Life Sciences, Inc.",3.75,1.07816712,32210,0.7283985,79146602,,-3.1131,7.07164179,0,Health Technology
151,"Albertsons Companies, Inc.",22.73,0.04401408,1801338,0.57514662,13085192097,11.19263344,2.0308,-25.66617862,2.11175,Retail Trade
152,American Coastal Insurance Corporation,7.35,-1.47453083,238994,0.33296363,319037644,,-2.0951,24.15927602,0,Finance
153,Asian Citrus Holdings Ltd.,0.0038,-24,390000,,14247935.3,,-0.00324028,-659.1891757,0,Process Industries
154,AC Immune SA,2.75,-0.72202166,42207,0.8596393,229956015,,-0.8475,15.85583797,0,Health Technology
155,"ACI Worldwide, Inc.",20.62,-3.01034807,350481,0.84434677,2239237983,31.635471,0.6518,-49.55108359,0,Technology Services
156,Arcelik A.S.,26.44,-11.4830934,409,0.19596569,3818484855,14.58758621,1.8125,-2.27003127,1.3512,Consumer Durables
157,Auckland International Airport Ltd.,4.76,1.27659574,1925,0.46718765,7008889507,264.8559423,0.01797203,-91.84517533,0.59343,Transportation
158,"American Creek Resources, Ltd.",0.09,3.44827586,13250,0.88942292,39852407.25,9.77869722,0.00920368,,0,Non-Energy Minerals
159,Acme Lithium Inc.,0.1234,3.43671417,13460,0.54957394,7295539.884,,-0.01229672,84.8016345,0,Non-Energy Minerals
160,Atco Ltd.,26.023,1.1230279,1288,0.09330899,2936755628,9.8652871,2.63783504,5.28121878,5.41428,Utilities
161,ACCELLERON INDS LTD.,26,-0.5812175,4742,1.59695561,2452836967,,,,1.77756,Producer Manufacturing
162,"Axcelis Technologies, Inc.",164.46,-1.90277364,514495,1.15496971,5397160800,26.50656781,6.2045,41.01777354,0,Producer Manufacturing
163,Atco Ltd.,22.9006,-16.81341993,355,0.13466864,2693258710,8.68158913,2.63783504,5.28121878,5.64237,Utilities
164,"Arcellx, Inc.",33.25,-7.45894795,528595,1.28258634,1607936154,,-4.0827,-64.0560958,0,Health Technology
165,AECOM,82.61,-1.39651468,397247,0.79373297,11460220321,87.17813423,0.9476,-54.65160796,0.83525,Industrial Services
166,"ACM Research, Inc.",19.8,-1.34529148,1254829,1.07664731,1188445710,19.4022538,1.0205,114.0310403,0,Producer Manufacturing
167,Accenture plc,304.36,-2.61726499,2295483,0.98443783,1.91989E+11,28.25683304,10.7712,0.56016133,1.47194,Technology Services
168,ACNB Corporation,32.81,-0.54561988,3955,0.44019767,280994118,7.17017417,4.5759,46.9932541,3.41359,Finance
169,ALICE CONS MINES INC,0.0051,0,1415,0.09523489,,,,,,Non-Energy Minerals
170,Amsterdam Commodities N.V.,20.55,-1.53330139,100,0.12971851,607907462.1,12.20787939,1.68333904,2.0460458,6.12245,Distribution Services
171,AusCann Group Holdings Ltd.,0.0011,-69.44444444,500,0.14155885,11128219.75,,-0.0015984,91.30992327,0,Process Industries
172,Ascent Industries Co.,8.85,4.24028269,3251,1.0899886,89939711,,-1.8798,-149.929613,0,Non-Energy Minerals
173,Alpha Cognition Inc.,0.2632,1.23076923,25365,0.60846453,23148613.71,,-0.14642904,39.22558897,0,Health Technology
174,"Aclarion, Inc.",0.5031,25.775,100902,2.66687459,4140769,,-0.6353,48.91444194,0,Technology Services
175,A2 Milk Co Ltd.,2.7,2.59528062,400,0.3327787,1951923966,20.83217695,0.12960719,70.79626478,0,Consumer Non-Durables
176,The A2 Milk Co Ltd.,2.68,1.51515152,237,0.19538335,1962255572,20.58371736,0.1302,83.63892807,0,Consumer Non-Durables
177,"Acorda Therapeutics, Inc.",10.26,-4.54659633,3960,0.2940958,12743925,,-24.0281,86.3452188,0,Health Technology
178,abrdn Income Credit Strategies Fund,6.35,0.31595577,273127,0.64855453,330680000,,-0.5518,-113.0427589,18.8976,Miscellaneous
179,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,22.14,3.67886712,2156,0.5736331,,,,,,Miscellaneous
180,ACRES Commercial Realty Corp.,8.01,-1.71779141,6956,1.09130844,68020751,,-0.9519,-94.82194024,0,Finance
181,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,22.14,-0.71748879,14351,1.20041824,68020751,,-0.9519,-94.82194024,0,Finance
182,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,17.83,-2.03296703,11745,1.16991394,68020751,,-0.9519,-94.82194024,0,Finance
183,Acreage Holdings Inc.,0.334,3.08641975,7198,0.66323898,25304200,,-1.3186,-88.34452221,0,Process Industries
184,Ares Commercial Real Estate Corporation,9.44,-0.42194093,396716,0.82256853,511046389,,-0.0936,-108.4324324,14.6186,Finance
185,Accor SA Ltd.,33.5,0.67618332,110,0.14614056,8873943176,13.89229865,2.41140799,,2.24329,Consumer Services
186,American Clean Resources Group Inc.,8.8,3.65135453,700,1.027146,113685085,,-0.3719,1.03778606,0,Non-Energy Minerals
187,Acreage Holdings Inc.,0.21,-14.004914,57816,1.15682206,16936941,,-1.3186,-88.34452221,0,Process Industries
188,"Atacama Resources International, Inc.",0.0042,5,370001,0.26116755,4429960,,,,0,Commercial Services
189,Acropolis Infrastructure Acquisition Corp.,10.295,0.04859086,369,0.00548106,171162604,60.06417736,0.1714,,0,Finance
190,Acropolis Infrastructure Acquisition Corp.,10.36,0.29041626,900,1.51719488,171162604,,,,0,Finance
191,"Aclaris Therapeutics, Inc.",5.54,-6.10169492,950907,1.16123357,392202301,,-1.5534,-16.36826729,0,Health Technology
192,"Acrivon Therapeutics, Inc.",6.24,-7.2808321,11265,0.59098802,136818120,,-2.0832,,0,Health Technology
193,"AcelRx Pharmaceuticals, Inc.",0.7,2.86554004,97922,0.47225783,11438083,,-3.091,-153.6240935,0,Health Technology
194,ACS Actividades De Construccion Y Servicios SA,36.6399,5.54486533,372,0.62416107,9124476453,12.00564036,3.05189052,30.48112427,4.72701,Industrial Services
195,ACS Actividades De Construccion Y Servicios SA,7.01,-0.28449502,15054,4.67530048,8816668273,12.204039,0.5744,43.56410897,17.5536,Industrial Services
196,"Acasti Pharma, Inc.",2.64,1.14942529,22337,0.30868284,19662809,,-5.6398,-282.7485579,0,Health Technology
197,"Enact Holdings, Inc.",28.23,1.00178891,132934,0.64364283,4516624178,6.78116743,4.163,2.82566813,2.1254,Finance
198,Acacia Research Corporation,3.63,0.27624309,201620,0.96482749,362587360,,-0.9099,-198.0707049,0,Commercial Services
199,ADURO CLEAN TECHNOLOGIES INC.,0.8727,-0.74156639,50841,0.85422509,55772947.95,,-0.07467096,56.4923245,0,Process Industries
200,Advanced Container Technologies Inc.,0.0003,0,1521,1.52328493,15570.45,,,,0,Producer Manufacturing
201,Acme,27.7,-1.45855567,2833,0.69427766,98833770,25.48532524,1.0869,-46.45549042,2.02166,Distribution Services
202,"Acura Pharmaceuticals, Inc.",0.0004,0,400,0.43520836,26400.72,,,,0,Health Technology
203,Accustem Sciences Inc.,0.702,-8.30721003,2091,1.79300292,7965270,,-0.2718,,0,Health Technology
204,Virtus Diversified Income & Convertible Fund,18.23,-1.61899622,29894,0.86937555,,,,,,Miscellaneous
205,ACV Auctions Inc.,14.64,-4.74951204,951768,1.10251371,2353493798,,-0.5176,23.15914489,0,Retail Trade
206,Acciona S.A.,123.605,4.75,25,0.1102779,6754635582,8.76875654,14.09606932,65.40750719,3.05818,Industrial Services
207,"Acurx Pharmaceuticals, Inc.",4.08,9.09090909,8200608,3.84732127,53060921,,-1.1307,8.20750122,0,Health Technology
208,Adagene Inc.,1.4,-6.04026846,31887,0.58146787,60553593,,-0.8692,,0,Health Technology
209,Adaptimmune Therapeutics plc,0.669,-1.61764706,477637,1.34349635,150728834,,-0.5406,51.4460212,0,Health Technology
210,Adobe Inc.,559.63,1.76756196,4624024,1.97470216,2.548E+11,50.36040495,11.1125,9.51836558,0,Technology Services
211,Aldebaran Resources Inc.,0.5928,-1.16705569,700,0.07971848,87294756.39,,-0.00488004,-27.21158659,0,Non-Energy Minerals
212,Agree Realty Corporation,53.91,-1.99963643,1019048,1.08506417,5189855866,30.64112766,1.7594,-6.99370936,5.37563,Finance
213,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",16.26,-0.91407678,16524,1.49690184,5189855866,9.24178697,1.7594,-6.99370936,5.37563,Finance
214,Adcore Inc.,0.155,-2.51572327,16700,2.31806005,9347695.222,,-0.02421624,-20.41546504,0,Technology Services
215,ADC Therapeutics SA,0.8375,3.39506173,102431,0.56933756,67538113,,-2.259,7.18599778,0,Health Technology
216,"Color Star Technology Co., Ltd.",0.6195,1.72413793,82978,0.20814447,5928429,,,,0,Technology Services
