Company Name,ABN,Telephone,Facsimile,Address,Email,Website,Description
Bainbridge Engineering Vic Pty Ltd,, 9799 9700, 9799 9800, 16 Gaine RoadDandenong South VIC 3164,,http://www.bainbridgeeng.com.au/,"Bainbridge Engineering specialise in Metal Welding, Production, Tool and Die Making Located in Dandenong South, Victoria, with a production area of 3000sqm, our current capabilities include:  Pressing capacity to 400 ton, various 200, 150, 100 machines down to 10 ton.  Production Mig welding of small through to large dimensional components.  Tig welding process.  Production spot welding (resistance welding).  Tool and Die making, servicing, repair and maintenance of tooling.  3 axis CNC milling and CNC EDM processes.  5 axis wire cutting.  Bandsaw and Guillotine cutting processes.  Full span overhead cranes, 12 and 16 ton capacity. Certified to AS/NZS 9001:2008 our current client industries are:  Automotive  Building  Defence"
Balluff Pty Ltd,, 1300 225 833, 1300 653 894, 18 Malvern StreetBayswater VIC 3153,sales@balluff.com.au,https://www.balluff.com/local/au/home/,"Balluff is a leading global specialist for sensor solutions and systems for industrial automation, focused on supporting Australian manufacturers to get Industry 4.0 Enabled."
Bambach Wires & Cables,84 004 021 391, 0499 887 731,, 40 Willung RoadRosedale VIC 3175,ncousins@bambachcables.com.au,https://bambachcables.com.au/,Bambach’s Technical team is adept at designing cable to suit Australian conditions and meet specific customer needs. A large part of  Bambach’s production involves purpose built cables designed for specific uses and as a local manufacturer Bambach is able to offer this service even where small production runs are required.
BBS Flooring Products P/L,79 100 338 896,411499043, 03 9793 4488, 2/75 Zenith RdDandenong VIC 3175,will@bbsfp.com,,"BBS designs and manufactures hardware solutions for the installation of floorcoverings. We are widely known for our: Carpet gripper and seaming tapes for the stretch installation of domestic carpet Aluminium and brass transition trims for finishing floorcoverings at the edges Underlayment to go under vinyl floorcoverings Specialist nails used in the floorcovering industry Our modern manufacturing facility is located in Dandenong, 30 minutes south-east of the Melbourne CBD. We are the only remaining manufacturer in this category, competing against a tide of low cost Chinese imports. From here we manufacture and ship to our professional distributors located throughout Australia and New Zealand. Our goal is to bring customers the highest quality floorcovering installation products made competitively in Australia. Our products are designed to suit the needs of Australian and New Zealand floorcovering installers, with better performance and ease of use in mind. We defend local manufacturing and employment in the face of government and institutional neglect and malfeasance."
Bellevue Orchard: Summer Snow Juice · Trattore Cider · Bellevue Farm Gate,18 600 169 346, +61 3 5943 2390,, 544 Brown RoadOfficer VIC 3809,hello@bellevueorchard.com.au,https://www.bellevueorchard.com.au/,"We are an imaginative farming family growing great Australian fruit and making fantastic juice for the people you love. Our family owned and operated orchard, Bellevue Orchard in Officer in West Gippsland Victoria, has been growing apples for four generations and making apple juice since 1998. We get excited about being able to produce juices and ciders for brands across Australia, and being able to produce natural juice, as healthy as a real apple, direct from the farm for our own Summer Snow juices and Trattore ciders."
Beyond Welding Pty Ltd,39 613 815 900, 03 9013 0761,, 48 Marni StreetDandenong South VIC 3175,sales@beyondwelding.com.au,http://www.beyondwelding.com.au,"We offer exceptional quality welding and fabrication services to meet with Australian and International Standards, for various metals using GTAW (TIG), GMAW (MIG), Brass Brazing and Oxy Acetylene Cutting and Gouging."
Bomac Engineering Pty Ltd,49 303 152 033, 9796 5300, 9796 4683, 1153 Wedgewood RoadHallam VIC 3803,,http://www.bomac.com.au/,"Bomac specialises in Altrac, a lightweight, low-maintenance, attractive, adaptable and safety tested rail system that can be tailored to almost any application including freestanding jib cranes, overhead gantry cranes and fall arrest systems. Our additional website www.BomacFallArrest.com.au focuses specifically on fall arrest applications Altrac comes as a pre-engineered, modular structure in kit format that the purchaser can install. The track is self-cleaning and wonﾒt corrode or flake off. All Bomac Engineering products are compliant with Australian safety codes, including Australian Crane Code AS1418. Bomac is Australian owned, and its Altrac products are Australian designed and fabricated."
Branin Recycles Pty Ltd,57 626 778 934, 0402 212 222,, 7 Apoinga StDandenong South VIC 3175,ed@branin.com.au,http://branin.com.au/,"Branin Recycles converts waste into useful commodities, specialising in food manufacturing waste converted to animal feed and plastic waste into new plastic products."
Busy Bee Brushware Pty Ltd,, 03 9768 2865,, 39 Swift WayDandenong South VIC 3175,,https://www.busybee.com.au/,"Busy Bee is a family owned company based in Dandenong South, Victoria, specialising in manufacturing custom and industrial Brushware. We have a proud tradition of providing innovative technology, quality products and outstanding customer service."
BXB Technologies Pty Ltd,, 0412 833 904,, 8 Elliott RdDandenong South VIC 3175,bruno.angelico@bxbtech.com.au,https://bxbtech.com.au/,BXB advanced technology producing Cleaner and Greener Hydrogen.
C & I Precision Engineering Pty Ltd,, 03 9775 1448,, 15 Tova DriveCarrum Downs VIC 3201,info@candiprecision.com.au,http://www.candiprecision.com.au/,C&I PRECISION ENGINEERING SPECIALISES IN THE DESIGN AND MANUFACTURE OF HIGH QUALITY MACHINED AND CUSTOM PARTS TO A WIDE RANGE OF INDUSTRIES NATIONALLY.
Cabinet Makers Insurance Brokers,15006568501, 03 9797 2903,, Suite 3/73 Robinson StreetDANDENONG VIC 3175,info@cmib.com.au,https://www.cmib.com.au/,"We specialise in the analysis, placement and management of commercial insurance programmes and individual insurance products for clients in the cabinet making, shopfitting & joinery industries"
Campagno Engineering Pty Ltd,85 074 444 876, (03) 9791 6464, (03) 9791 3026, Factory 2/10 Zenith RoadDandenong South VIC 3175,info@campagno.com.au,http://www.campagnoengineering.com.au/,"Campagno Engineering Pty Ltd is a family owned company established in 1979 and have over 35 years prided itself on fast, efficient service and prompt on-time delivery. Campagno Engineering can cater to suite the customers requirements from Prototype runs to full Production Runs. Our philosiphy at Campagno Engineering is to build Strong Relationships with our customers. Campagno Engineering Pty Ltd is a family owned company established in 1979 and have over 35 years prided itself on fast, efficient service and prompt on-time delivery. Campagno Engineering has grown from a 1 man operation to now employing over 20 highly skilled trades people and support staff converting our customer's drawings and designs into highly precision and quality parts. Campagno Engineering is constantly committed to moving forward: with continuous machine upgrades, the introduction of Lean Manufacturing, ISO 9001 certification and the installation of a solar powered system, effictively cutting our carbon emissions in half. Campagno Engineering services a wide variety of industries including automotive, transport, defence, packaging, medical, bio-medical, gas & cryogencs as well as general engineering applications. Campagno Engineering can cater customers needs with either 1 off R & D parts to full production runs."
Cardinia Shire Council,,1300787624,, 20 Siding AveOfficer VIC 3809,business@cardinia.vic.gov.au,,"We will provide leadership, good governance and engage with our community to ensure the long-term sustainability of Cardinia Shire."
CastAbout,,413422657,, 2/51-52 Nepean HwySeaford VIC 3198,alex@castabout.com.au,https://www.castabout.com.au/,CastAbout transforms how Australian manufacturers connect in this modern world.
Catten Industries Pty Ltd,82616353434, 03 9720 5777,, 58 Jersey RoadBayswater VIC 3153,sales@catten.com.au,http://www.catten.com.au,"Catten Industries, are a wholly owned Australian company specialising in the field of precision sheet metal fabrication and assembly. Our modern Bayswater facility can provide Sheetmetal Solutions from concept to completion. Our factory has modern machinery, operated by highly skilled staff, making sure that whatever the product, it is made to the highest standards for our many valued customers. Catten capabilities include CNC Laser, Turret Punching, Brake Pressing, Welding, Powder Coating, Assembly, Quality Assurance (ISO 9001-2015)"
Celsius Sheet Metal,, 03 9791 4716,, 15-19 Dingley AveDandenong VIC 3175,matthew.fogarty@celsiussheetmetal.com.au,,"Celsius Sheetmetal manufactures HVAC ducting for commercial customers. Based in Dandenong, Celsius offers a premium offering with quick turnaround and high quality duct work. "
Chisholm Institute,65335795326, 9212-5085, 9212 5466, 121 Stud RoadDandenong VIC 3175,,http://www.chisholm.edu.au/,"Chisholm Institute is the leading TAFE provider for Melbourne's south-east with a seven campus network. Chisholm is home to almost 40,000 local and international students. Chisholm also offers quality workplace training and consultancy services for business and industry.Whatever course you choose, you can be sure that with a Chisholm qualification, your career prospects will be enhanced and you will be learning the skills that today's employers want. Discover how Chisholm can help you achieve your goals today and beyond."
